rank,track ID,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,position_restore
22,1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,We're Good,Urban,22,-1,1,14523521,1222
28,7DF8lvLdV3htIbuTWpc7lR,"Juice WRLD, SUGA, BTS",Girl Of My Dreams (with SUGA of BTS),Grade A Productions/Interscope Records,28,-1,1,14460806,9426
24,07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",24,25,8,14407480,8022
33,4IQkfUsrwXol38VV3U7t7T,"Taylor Swift, Ed Sheeran",Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Taylor Swift,33,-1,1,14399012,8631
35,2TE4xW3ImvpltVU0cPcKUn,Shakin' Stevens,Merry Christmas Everyone,Sony Music CG,35,68,22,14360291,9633
36,6sBWmE23q6xQHlnEZ8jYPT,Elton John,Step Into Christmas,UMC (Universal Music Catalogue),36,121,15,14288523,9634
33,71R8HJxQk5qMiRstrlXN9t,"Rauw Alejandro, Mr. Naisgai",2/Catorce,Sony Music Latin/Duars Entertainment,33,42,4,14285064,4233
17,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,27,60,14205168,17
24,4bF2y8rR7GUjrd5LNEvej3,Ingratax,París,Room28,24,31,5,14168711,6422
18,0E4Y1XIbs8GrAT1YqVy6dq,Ed Sheeran,Afterglow,Atlantic Records UK,18,21,3,14139901,18
30,3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,30,47,3,14079036,6828
32,57ZUX6TNyKLBydAdVVd02x,J. Cole,p u n c h i n ‘ . t h e . c l o c k,"Dreamville, Inc., Under exclusive license to Roc Nation Records",32,-1,1,14051831,3832
37,0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas? - 1984 Version,EMI,12,69,25,14022105,9635
35,1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,35,38,9,13947310,9833
