pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo
725,2019,2RSHsoi04658QL5xgQVov3,Imagine Dragons,Bad Liar,[rock],0.38,0.64,0.07,0.07,0.37,0.08,177.91
726,2019,2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,10 000 Hours (with Justin Bieber),[country],0.65,0.63,0.03,0.15,0.11,0.43,89.99
727,2019,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,[Dance/Electronic],0.75,0.52,0.03,0.41,0.11,0.66,95.01
728,2019,2fuCquhmrzHpu5xcA1ci9x,Queen,Under Pressure - Remastered,[rock],0.67,0.71,0.05,0.43,0.10,0.46,113.81
729,2019,63cd4JkwGgYJrbOizbfmsp,Mustard,Pure Water (with Migos),[hip hop],0.68,0.56,0.13,0.17,0.32,0.14,202.01
730,2019,1NJcg626wLln4pGHpiV7mf,Billie Eilish,lovely,[pop],0.35,0.30,0.03,0.93,0.10,0.12,115.28
731,2019,40T5GIqQ1CegGm2PTEl8Bu,Billie Eilish,idontwannabeyouanymore,[pop],0.48,0.41,0.04,0.74,0.12,0.25,170.16
732,2019,5qrSlOut2rNAWv3ubArkNy,Dean Lewis,Be Alright,[pop],0.55,0.54,0.03,0.71,0.08,0.49,126.42
733,2019,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,Panini,[hip hop],0.70,0.59,0.08,0.34,0.12,0.48,153.85
734,2019,1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Mo Bamba,[hip hop],0.73,0.63,0.03,0.19,0.25,0.26,146.03
735,2019,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,Only Human,[pop],0.80,0.50,0.07,0.11,0.06,0.87,94.01
736,2019,4hPpVbbakQNv8YTHYaOJP4,Marshmello,One Thing Right,[Dance/Electronic],0.66,0.62,0.05,0.07,0.58,0.44,88.04
737,2019,7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss (with Dua Lipa),[Dance/Electronic],0.79,0.86,0.11,0.04,0.08,0.59,123.99
738,2019,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,Ransom,[hip hop],0.75,0.64,0.29,0.02,0.07,0.23,179.97
739,2019,3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,[pop],0.70,0.23,0.10,0.90,0.11,0.24,120.01
740,2019,0s5DNDV6LAKn2u2Ufa3VjQ,Mau y Ricky,Desconocidos,[latin],0.71,0.77,0.17,0.15,0.25,0.71,174.01
741,2019,5hVghJ4KaYES3BFUATCYn0,Tyler  The Creator,EARFQUAKE,[hip hop  rap],0.55,0.50,0.07,0.23,0.80,0.41,79.64
